Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
186,Adam Frazier*,33,KCR,AL,0.9,24,86,79,11,25,5,0,2,13,1,1,4,11,.316,.349,.456,.805,123,.349,126,36,0,1,0,2,0,4/79DH5,,fraziad01
187,Jonah Heim#,30,TEX,AL,0.4,97,347,321,26,70,12,0,9,38,3,0,21,77,.218,.266,.340,.605,76,.278,82,109,6,1,1,3,0,2D/H,,heimjo01
188,Max Muncy*,34,LAD,NL,3.3,89,347,279,44,72,10,2,17,64,4,0,60,73,.258,.389,.491,.880,145,.385,144,137,4,3,0,5,1,*5/H,,muncyma01
189,Patrick Bailey#,26,SFG,NL,0.7,101,341,305,31,66,15,3,2,37,0,0,25,103,.216,.276,.305,.581,69,.262,67,93,5,2,4,5,0,*2H/D,,bailepa01
190,Alex Bregman,31,BOS,AL,4.0,80,340,298,49,90,23,0,16,52,1,1,34,53,.302,.385,.540,.926,154,.396,158,161,6,7,0,1,2,5/H,AS,bregmal01
191,Kyle Isbel*,28,KCR,AL,1.5,110,336,303,37,80,15,4,4,28,4,3,17,64,.264,.302,.380,.682,90,.292,83,115,5,1,12,3,0,*8/H,,isbelky01
192,Tommy Pham,37,PIT,NL,1.3,92,336,296,32,77,12,1,6,34,5,1,34,75,.260,.333,.368,.702,97,.323,101,109,9,1,0,5,2,*7/9HD,,phamth01
193,Isaac Collins#,27,MIL,NL,2.8,100,332,282,48,81,15,3,8,41,13,5,40,73,.287,.383,.447,.830,133,.378,142,126,4,5,3,2,0,*7H/9D45,,colliis01
194,Tommy Edman#,30,LAD,NL,1.1,86,332,303,43,69,13,1,12,44,3,1,18,57,.228,.281,.396,.677,87,.311,93,120,4,6,1,4,0,485/H,,edmanto01
195,Jeff McNeil*,33,NYM,NL,1.6,88,332,285,31,72,14,4,9,35,2,0,37,35,.253,.345,.425,.770,121,.342,122,121,5,5,2,3,4,48/D79H,,mcneije01
196,Nolan Jones*,27,CLE,AL,-0.7,109,331,286,27,60,11,2,3,28,7,3,37,90,.210,.306,.294,.600,68,.274,66,84,5,4,1,3,1,*98H7/D,,jonesno01
197,Daniel Schneemann*,28,CLE,AL,1.7,102,331,293,40,66,15,1,10,32,8,2,33,83,.225,.309,.386,.695,91,.313,93,113,4,3,1,1,1,45H869/7,,schneda04
198,Michael Toglia#,26,COL,NL,-1.5,85,329,299,22,58,15,1,11,32,3,0,27,126,.194,.261,.361,.623,65,.277,58,108,7,1,0,2,2,3/DH,,toglimi01
199,Ramón Urías,31,2TM,AL,1.7,90,328,294,30,75,14,0,9,38,2,0,23,68,.255,.305,.395,.699,95,.305,93,116,6,2,0,9,0,5/4H3D,,uriasra01
199,Ramón Urías,31,BAL,AL,1.3,77,290,258,27,64,12,0,8,34,2,0,21,60,.248,.300,.388,.688,93,.301,90,100,5,2,0,9,0,5/H3D4,,uriasra01
199,Ramón Urías,31,HOU,AL,0.3,13,38,36,3,11,2,0,1,4,0,0,2,8,.306,.342,.444,.787,116,.337,113,16,1,0,0,0,0,/45H,,uriasra01
200,Andrew Vaughn,27,2TM,2LG,-0.5,80,327,302,27,73,13,0,14,54,0,0,19,62,.242,.288,.424,.712,97,.307,93,128,9,2,1,3,0,3D/H,,vaughan01
200,Andrew Vaughn,27,CHW,AL,-1.8,48,193,185,9,35,8,0,5,19,0,0,7,43,.189,.218,.314,.531,47,.229,38,58,4,0,0,1,0,3D/H,,vaughan01
200,Andrew Vaughn,27,MIL,NL,1.2,32,134,117,18,38,5,0,9,35,0,0,12,19,.325,.391,.598,.989,174,.419,172,70,5,2,1,2,0,3/H,,vaughan01
201,Jake Meyers,29,HOU,AL,2.6,89,322,289,47,89,15,2,3,21,14,5,27,58,.308,.369,.405,.774,115,.347,119,117,8,2,2,2,0,*8/H,,meyerja02
