Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru,Name-additional
420,Michael Massey*,27,KCR,209,759,3.63,534,70.4%,23.2%,14.6%,30.1%,32.0%,76.8%,0.0%,54.0%,81.0%,22.5%,1.0%,2,0,8.1%,17,7,3.3%,7,4,5,27,15.6%,0,0,0,massemi02
421,Miles Mastrobuoni*,29,SEA,172,654,3.80,401,61.3%,35.7%,10.5%,22.2%,31.7%,64.3%,0.0%,39.4%,83.7%,18.0%,4.1%,7,0,12.8%,22,11,13.4%,23,10,6,22,21.4%,0,0,0,mastrmi01
422,Jorge Mateo,30,BAL,65,258,3.97,185,71.7%,23.2%,24.3%,31.9%,20.5%,76.8%,0.0%,55.0%,68.3%,38.5%,4.6%,3,0,9.2%,6,1,4.6%,3,0,3,20,13.0%,0,0,0,mateojo01
423,Nick Maton*,28,CHW,63,250,3.97,147,58.8%,21.1%,32.0%,23.1%,23.8%,78.9%,0.0%,46.4%,59.5%,31.7%,1.6%,1,0,22.2%,14,11,12.7%,8,3,4,15,21.1%,0,0,0,matonni01
424,Luis Matos,23,SFG,120,425,3.54,291,68.5%,21.6%,16.5%,29.2%,32.6%,78.4%,0.0%,53.6%,78.9%,30.8%,2.5%,3,0,10.0%,12,6,9.2%,11,8,0,19,0.0%,0,0,0,matoslu02
425,Brice Matthews,23,HOU,40,153,3.83,101,66.0%,21.8%,39.6%,19.8%,18.8%,78.2%,0.0%,51.6%,49.4%,40.0%,0.0%,0,0,7.5%,3,2,7.5%,3,2,4,14,22.2%,0,0,0,matthbr01
426,Ronny Mauricio#,24,NYM,161,604,3.75,406,66.7%,21.2%,25.1%,28.8%,24.6%,78.6%,0.0%,52.8%,67.8%,38.5%,5.0%,8,0,12.4%,20,8,10.6%,17,7,6,42,12.5%,0,0,0,mauriro01
427,Marcelo Mayer*,22,BOS,137,510,3.72,339,66.5%,23.6%,21.8%,28.9%,25.7%,76.4%,0.0%,50.8%,71.4%,39.4%,5.1%,7,2,9.5%,13,6,5.8%,8,4,8,33,19.5%,0,0,0,mayerma01
428,Coby Mayo,23,BAL,169,638,3.78,421,65.9%,29.7%,20.7%,24.0%,25.7%,70.3%,0.0%,46.4%,70.6%,27.2%,3.0%,5,0,11.2%,19,8,6.5%,11,6,13,31,29.5%,0,0,0,mayoco01
429,James McCann,35,ARI,86,328,3.81,210,63.8%,24.3%,23.3%,26.7%,25.7%,75.7%,0.0%,48.5%,69.2%,32.6%,5.8%,5,0,14.0%,12,4,8.1%,7,3,5,16,23.8%,0,0,0,mccanja02
